ba_name,freq,load_MW,market,timestamp
CAISO,1hr,23089.0,RT5M,2017-10-01 22:00:00+00:00
CAISO,1hr,24075.0,RT5M,2017-10-02 05:00:00+00:00
CAISO,1hr,20453.0,RT5M,2017-10-01 08:00:00+00:00
CAISO,1hr,22207.0,RT5M,2017-10-02 06:00:00+00:00
CAISO,1hr,18873.0,RT5M,2017-10-01 11:00:00+00:00
CAISO,1hr,19392.0,RT5M,2017-10-01 13:00:00+00:00
CAISO,1hr,20068.0,RT5M,2017-10-01 08:25:00+00:00
CAISO,1hr,18944.0,RT5M,2017-10-01 10:25:00+00:00
CAISO,1hr,19406.0,RT5M,2017-10-01 09:25:00+00:00
CAISO,1hr,27057.0,RT5M,2017-10-02 03:25:00+00:00
CAISO,1hr,18861.0,RT5M,2017-10-01 11:25:00+00:00
CAISO,1hr,20747.0,RT5M,2017-10-01 16:25:00+00:00
CAISO,1hr,22439.0,RT5M,2017-10-01 21:25:00+00:00
CAISO,1hr,19594.0,RT5M,2017-10-01 14:25:00+00:00
CAISO,1hr,20577.0,RT5M,2017-10-01 17:25:00+00:00
CAISO,1hr,20986.0,RT5M,2017-10-01 19:25:00+00:00
CAISO,1hr,24612.0,RT5M,2017-10-01 23:25:00+00:00
CAISO,1hr,23362.0,RT5M,2017-10-02 05:25:00+00:00
CAISO,1hr,23546.0,RT5M,2017-10-01 22:25:00+00:00
CAISO,1hr,25677.0,RT5M,2017-10-02 00:25:00+00:00
CAISO,1hr,26336.0,RT5M,2017-10-02 01:25:00+00:00
CAISO,1hr,20641.0,RT5M,2017-10-01 18:25:00+00:00
CAISO,1hr,21170.0,RT5M,2017-10-01 07:25:00+00:00
CAISO,1hr,19093.0,RT5M,2017-10-01 12:25:00+00:00
CAISO,1hr,25254.0,RT5M,2017-10-02 04:25:00+00:00
CAISO,1hr,21464.0,RT5M,2017-10-02 06:25:00+00:00
CAISO,1hr,20533.0,RT5M,2017-10-01 15:25:00+00:00
CAISO,1hr,27893.0,RT5M,2017-10-02 02:25:00+00:00
CAISO,1hr,19585.0,RT5M,2017-10-01 13:25:00+00:00
CAISO,1hr,21484.0,RT5M,2017-10-01 20:25:00+00:00
CAISO,1hr,19594.0,RT5M,2017-10-01 13:30:00+00:00
CAISO,1hr,20586.0,RT5M,2017-10-01 17:30:00+00:00
CAISO,1hr,23186.0,RT5M,2017-10-02 05:30:00+00:00
CAISO,1hr,20786.0,RT5M,2017-10-01 16:30:00+00:00
CAISO,1hr,20645.0,RT5M,2017-10-01 18:30:00+00:00
CAISO,1hr,21048.0,RT5M,2017-10-01 19:30:00+00:00
CAISO,1hr,23649.0,RT5M,2017-10-01 22:30:00+00:00
CAISO,1hr,27915.0,RT5M,2017-10-02 02:30:00+00:00
CAISO,1hr,26942.0,RT5M,2017-10-02 03:30:00+00:00
CAISO,1hr,21057.0,RT5M,2017-10-01 07:30:00+00:00
CAISO,1hr,19364.0,RT5M,2017-10-01 09:30:00+00:00
CAISO,1hr,25693.0,RT5M,2017-10-02 00:30:00+00:00
CAISO,1hr,21328.0,RT5M,2017-10-02 06:30:00+00:00
CAISO,1hr,19984.0,RT5M,2017-10-01 08:30:00+00:00
CAISO,1hr,18924.0,RT5M,2017-10-01 10:30:00+00:00
CAISO,1hr,19125.0,RT5M,2017-10-01 12:30:00+00:00
CAISO,1hr,19619.0,RT5M,2017-10-01 14:30:00+00:00
CAISO,1hr,22525.0,RT5M,2017-10-01 21:30:00+00:00
CAISO,1hr,26476.0,RT5M,2017-10-02 01:30:00+00:00
CAISO,1hr,25104.0,RT5M,2017-10-02 04:30:00+00:00
CAISO,1hr,18860.0,RT5M,2017-10-01 11:30:00+00:00
CAISO,1hr,21534.0,RT5M,2017-10-01 20:30:00+00:00
CAISO,1hr,20592.0,RT5M,2017-10-01 15:30:00+00:00
CAISO,1hr,19321.0,RT5M,2017-10-01 09:35:00+00:00
CAISO,1hr,18907.0,RT5M,2017-10-01 10:35:00+00:00
